Variety,Parentage,Origin,Certified Year,Average height(cm),Days to Heading,Days to Maturity,Ear color during maturity,Seed color,Production(Mt/ha),Recommended Area
Lerma Roho-52,,Mexico,1960,134,121,176,Red/Grey,White,5,Hills 
Lerma Roho-64,,Mexico,1967,119,118,168,Red/Grey,Red,6,Hills 
RR-21,,Mexico,1971,98,66,116,Red/Grey,White,4,Across whole Nepal
NL-30,,India,1976,100,79,120,White,White,4,Western Terai
U.P-262,,India,1978,92,78,123,White,White,4,Terai
Siddhartha,,India,1983,65,47,118,Red/Grey,White,4,Terai
Binayak,,India,1983,85,75,120,White,White,4.5,Terai
Tribeni,,India,1982,100,78,123,White,White,4,Terai
Nepal-297,,India,1985,84,67,117,White,White,5,Terai
Bhasker,,Mexico,1983,88,83,125,White,White,5,Banke and Bardia
Nepal-251,,India,1988,90,68,118,White,White,4.3,Terai and Inner Terai
Annapurna-1,,Mexico,1988,89,116,168,White,White,5.5,Hills 
Annapurna-2,,Mexico,1988,93,103,168,White,White,5,Hills 
H.D-1982,,India,1975,78,80,120,White,White,5,Mid and Western Terai
Lumbini,,India,1981,86,74,120,White,White,4,Terai
Annapurna-3,,Mexico,1991,83,,161,White,White,6.2,Lumle and Pakhribas(1100 -1700 m high
Bl-1022,,Nepal,1992,92,,120,White,White,5,Terai from western to Far Western
Bhirkuti,,Mexico,1993,,,120,,,3.955,Terai upto 1000m
Annapurna-4,,Mexico,1993,,,178,,,5.72,Mid hills
BL-1135,,Nepal,1993,102,,115,,,3.85,Terai- upto1000m
