# Estimated Production Under Food Crops by Development Region, 2010/11 to 2013/14
Region,year_2010-11,year_2011-12,year_2012-13,year_2013-14,Crop
Eastern Mountain,52976,62331,37980,52883,Paddy
Eastern Hills,228156,251778,422930,282013,Paddy
Eastern Terai,898513,1117600,854931,1066353,Paddy
Eastern Dev. Region,1179645,1431709,1315841,1401249,Paddy
Central Mountan,36214,41137,35093,37560,Paddy
Central Hills,295669,324749,324727,351433,Paddy
Central Terai,914585,1080237,860158,909449,Paddy
Cent. Dev. Region,1246467,1446124,1219978,1298442,Paddy
Western Mountain,,,,,Paddy
Western Hills,389447,385446,403621,435965,Paddy
Western Terai,684223,699687,703923,761711,Paddy
West. Dev. Reg.,1073670,1085133,1107544,1197676,Paddy
Mid-West. Mountain,16126,13384,16915,17729,Paddy
Mid-West. Hills,148561,155569,149586,161593,Paddy
Mid-West. Terai,384607,469826,426185,484567,Paddy
Mid.West.Dev.Reg.,549294,638779,592686,663889,Paddy
Far-West. Mountain,32358,37607,39168,41393,Paddy
Far-West. Hills,64879,85218,84676,90937,Paddy
Far-West. Terai,313965,347680,324610,353461,Paddy
Far.West.Dev.Reg,411202,470504,448454,485791,Paddy
Nepal,4460278,5072248,4684503,5047047,Paddy
Eastern Mountain,13846,12941,13900,6481,Wheat
Eastern Hills,60610,63023,69249,66624,Wheat
Eastern Terai,202250,186565,171488,183900,Wheat
Eastern Dev. Region,276706,262529,254637,257005,Wheat
Central Mountan,13013,13492,17334,15998,Wheat
Central Hills,115301,99840,122665,116161,Wheat
Central Terai,433522,466528,491437,483241,Wheat
Cent. Dev. Region,561836,466528,631436,615400,Wheat
Western Mountain,1725,1725,1648,1725,Wheat
Western Hills,113159,105690,108820,108750,Wheat
Western Terai,249026,250705,229357,245458,Wheat
West. Dev. Reg.,363910,358120,339825,355933,Wheat
Mid-West. Mountain,25850,13384,30325,28832,Wheat
Mid-West. Hills,152022,185721,179340,190606,Wheat
Mid-West. Terai,119954,151693,160295,154367,Wheat
Mid.West.Dev.Reg.,297826,367456,369960,373805,Wheat
Far-West. Mountain,24200,25900,44107,44638,Wheat
Far-West. Hills,88101,91210,101045,95362,Wheat
Far-West. Terai,133232,139040,141210,141000,Wheat
Far.West.Dev.Reg,245533,256150,286362,281000,Wheat
Nepal,1745811,1846142,1882220,1883143,Wheat
Eastern Mountain,97442,92698,82193,98925,Maize
Eastern Hills,318265,368597,351242,385266,Maize
Eastern Terai,142460,154546,118419,183300,Maize
Eastern Dev. Region,558167,615840,551854,667491,Maize
Central Mountan,69495,82914,64867,70756,Maize
Central Hills,320193,379717,332158,410781,Maize
Central Terai,127829,136447,79266,168618,Maize
Cent. Dev. Region,517517,291923,476291,650155,Maize
Western Mountain,1328,1235,1255,1115,Maize
Western Hills,525711,530415,562700,577006,Maize
Western Terai,44447,34820,48905,39112,Maize
West. Dev. Reg.,571486,566470,612860,617233,Maize
Mid-West. Mountain,21289,17095,12180,14367,Maize
Mid-West. Hills,210033,199055,165222,195162,Maize
Mid-West. Terai,91718,85921,96651,64400,Maize
Mid.West.Dev.Reg.,323040,291726,274053,273929,Maize
Far-West. Mountain,19790,21349,19651,12123,Maize
Far-West. Hills,37527,50705,41851,49696,Maize
Far-West. Terai,39995,23900,22450,12595,Maize
Far.West.Dev.Reg,97312,95954,83952,74414,Maize
Nepal,2067522,2179414,1999010,2283222,Maize
Eastern Mountain,16313,16423,16207,14420,Millets
Eastern Hills,63533,68334,67045,69124,Millets
Eastern Terai,6026,5691,5464,5460,Millets
Eastern Dev. Region,85872,90448,88716,89004,Millets
Central Mountan,24459,26795,26243,26335,Millets
Central Hills,41503,42915,37672,38970,Millets
Central Terai,2953,3490,3119,3093,Millets
Cent. Dev. Region,68915,33539,67034,68398,Millets
Western Mountain,,,,,Millets
Western Hills,105100,105121,105784,102635,Millets
Western Terai,700,495,495,640,Millets
West. Dev. Reg.,105800,105616,106279,103275,Millets
Mid-West. Mountain,8947,13604,11904,11959,Millets
Mid-West. Hills,16374,15317,15442,14628,Millets
Mid-West. Terai,150,100,20,19,Millets
Mid.West.Dev.Reg.,25471,19117,27366,26606,Millets
Far-West. Mountain,6210,6238,5453,5560,Millets
Far-West. Hills,9934,10095,10290,10852,Millets
Far-West. Terai,490,450,450,380,Millets
Far.West.Dev.Reg,16634,16783,16193,16792,Millets
Nepal,302691,315067,305588,304075,Millets
