"# Source: Economic survery, 2009/10, MoF",,,,,,
# Figures are given in million rupees ('000000),,,,,,
Year,Agriculture_current,Agriculture_capital,Irrigation_current,Irrigation_capital,Forest_current,Forest_capital
1998/99,1696,322.6,326.9,2724.7,872.8,336
1999/00,1695,544.1,362.4,2799.3,962.5,342
2000/01,1881.6,552,400.4,3684.6,1010.9,292.7
2001/02,2190.9,505.4,271.4,2913.5,1262.7,376
2002/03,1784,187,503.7,1840.9,1271.4,373.7
2003/04,1856,160.2,401.1,2070.9,1323.7,459.8
2004/05,2117.2,217.5,410.9,1921.5,1582.1,410.7
2005/06,2437.5,265.4,403.7,2462.7,1675.2,148
2006/07,2766.2,1374.2,451.3,3012.6,1712.6,152.5
2007/08,3057.9,3211.8,484,3605.1,1909.5,250.6
2008/09,3917.7,324.3,484.7,3458.6,1712.6,287.5
