"# Estimated area under Maize by Development Region, 2012/2013 to 2015/16",,,,,,
Region,year_2010/11,year_2011/12,year_2012/13,year_2013/14,year_2014/15,year_2015/16
Eastern Mountain,43195,42085,35179,41500,34105,34170
Eastern Hills,149487,153900,148836,169603,168092,169466
Eastern Terai,55000,54645,47710,65150,62780,62050
Central Mountain,31645,35753,32233,32787,33030,26520
Central Hills,131987,138259,141528,152589,154394,152233
Central Terai,49600,37756,20819,37162,28590,51645
Western Mountain,710,700,714,706,692,693
Western Hills,221949,201794,216884,228711,199007,193240
Western Terai,14640,11460,14700,14770,14070,13852
Mid-Western Mountain,13017,10142,9919,7975,8067,8394
Mid-Western Hills,97613,96734,93170,101024,104394,104145
Mid-Western Terai,42860,39197,42097,35000,33390,33150
Far-Western Mountain,9960,9972,9972,8000,8000,8328
Far-Western Hills,22140,27040,24224,24644,24644,25397
Far-Western Terai,22450,11950,11650,9140,9140,8300
