# Production area of rice varieties by ecological region in CDR,,
Varieties,Area,Region
Makawanpur-1,2524,Mountain
Khumal-4,2513,Mountain
khumal-10,1365,Mountain
Chinung-242,390,Mountain
Khumal-8,388,Mountain
Khumal-11,313,Mountain
Himali,218,Mountain
Radha-6,175,Mountain
Radha-4,172,Mountain
Mansuli,165,Mountain
Mansuli,141,Mountain
Ghaiya-2,69,Mountain
Kanchan,66,Mountain
Others,151,Mountain
Makawanpur-1,15456,Hill
Sabitri,13503,Hill
Khumal-4,11822,Hill
Khumal-11,4249,Hill
Chinung-242,2922,Hill
Radha-4,1952,Hill
Taichung-176,1744,Hill
Khumal-10,1736,Hill
Ghaiya-2,1723,Hill
Hardinath-1,1671,Hill
Radha-7,1035,Hill
Khumal-8,870,Hill
Ram Dhan,592,Hill
Loktantra,443,Hill
Rambilah##,399,Hill
"Chhomrong",273,Hill
Sunaulo sugandha,264,Hill
Ranpur mansuli,253,Hill
Himali,224,Hill
Parwanipur-1,91,Hill
Mansuli,86,Hill
Mallika,46,Hill
Sukkha-3,40,Hill
Sukkha-2,31,Hill
Swarna sab-1,23,Hill
Sukkha-1,20,Hill
Others,832,Hill
Sona mansuli##,122241,Terai
Sabitri,25029,Terai
Hardinath-1,22379,Terai
Swarna sab-1,18052,Terai
Rambilash##,13876,Terai
Radha-4,10626,Terai
Ram dhan,7536,Terai
Mansuli,6813,Terai
Sarju-52##,4760,Terai
Sabha sab-1,3762,Terai
"Sambha mansuli sab-1",2760,Terai
Sukkha-2,2511,Terai
Others,2083,Terai
Sukkha-1,1873,Terai
Mithila,1529,Terai
"Radha-11",1041,Terai
Sukkha-3,901,Terai
Makawanpur- 1,880,Terai
Sunaulo sugandha,759,Terai
Ghaiya-1,521,Terai
Kanchi mansuli##,338,Terai
Loktantra,119,Terai
