# Production area of rice varieties by ecological region in FWDR,,
Varieties,Area,Region
Radha-4,3404,Mountain
Khumal-4,2393,Mountain
Hardinath-1,1371,Mountain
Chhomrong,1054,Mountain
Himali,1045,Mountain
Chandannath-1,623,Mountain
Chandannath-3,505,Mountain
Sukhkha-1,122,Mountain
Khumal-11,5,Mountain
Khumal-13,5,Mountain
Radha-4,10955,Hill
Khumal-4,7030,Hill
Hardinath-1,4411,Hill
Khumal-11,1692,Hill
Khumal-10,1207,Hill
Loktantra,792,Hill
Sawa mansuli##,409,Hill
Sukhkha-3,279,Hill
Others,85,Hill
Sarju-52##,50722,Terai
Radha-4,22919,Terai
Sabitri,12719,Terai
Hardinath-1,10632,Terai
Ram dhan,2759,Terai
Loktantra,2237,Terai
Sawa mansuli##,1714,Terai
Makawanpur-1,1390,Terai
Mansuli,645,Terai
Mithila,534,Terai
Swarna sab-1,534,Terai
Sukhkha-1,434,Terai
Sukhkha-3,434,Terai
Janak,402,Terai
Radhakrishna,334,Terai
