S.N Area under old improved varieties (%),,S.N,Area under new improved varieties (%)
Varieties,Area (ha) %,,Varieties Area (ha) %
1 Sona mansuli ##,192340 16.69,1,Radha- 4 129720 11.26
2 Sabitri,105879 9.19,2,Hardinath -1 58777 5.10
3 Sarju- 52##,69598 6.04,3,Radha -12 48378 4.20
4 Mansuli,59176 5.14,4,Swarna sab -1 37853 3.28
5 Khumal -4,55619 4.83,5,Ram Dhan 37358 3.24
6 Makawanpur -1,40058 3.48,6,Ranjit ## 31081 2.70
7 Sawa mansuli##,27656 2.40,7,Lalka basmati 16849 1.46
8  Bindeswari,22677 1.97,8,Sambha mansuli sab-1 16316 1.42
9 Chinung -242,3312 0.29,9,Khumal- 10 12429 1.08
10  Janaki,3296 0.29,10,Radha- 7 9164 0.80
11 Himali,3049 0.26,11,Tarahara-1 8436 0.73
12 Ghaiya- 2,2450 0.21,12,Loktantra 7846 0.68
13 Taichung- 176,2187 0.19,13,Khumal-11 7785 0.68
14 Khumal- 2,1316 0.11,14,Rampur mansuli 7603 0.66
15 Parwanipur-1,91 0.01,15,Khumal- 8 6680 0.58
"",0.00,16,Sukhkha- 2 5190 0.45
"",0.00,17,Sukkha-3 5097 0.44
"",0.00,18,Sukkha-1 4619 0.40
"",0.00,19,Chhomrong  4357 0.38
"",0.00,20,Mithila 3822 0.33
"",0.00,21,Sudhariyako jethobudo 3593 0.31
"",0.00,22,Sunaulo sugandha 3185 0.28
"",0.00,23,Chandan nath -3 2721 0.24
"",0.00,24,Barse- 3004 1938 0.17
"",0.00,25,Radha- 11 1813 0.16
"",0.00,26,Chandan nath -1 1611 0.14
"",0.00,27,Machhapuchre- 3 1261 0.11
"",0.00,28,Barse- 2014 1097 0.10
"",0.00,29,Ghaiya- 1 521 0.05
"",0.00,30,Khumal- 9 405 0.04
"",0.00,31,Radhakrishna 334 0.03
"",0.00,32,Khumal- 13 5 0.00
Total,588705 51.09,,477844 41.47
Others,,,85765 7.44
Grand total,,,1152313.77 100.00
