"",,,,,,,,,
"",,,,,Agro‐ecological zones,,,,
S.N,Dev.Region,Mountain,,,Hill,,Terai,,Region (Over all)
"",,Varietiy,Area (ha) (%),,Varietiy Area (ha) (%),Varietiy,Area (ha) (%),,Varietiy Area (ha) (%)
"",EDR,Khumal‐4,2753 Khumal ‐4,,9329,Sona,63868,,Sona 63868
1,,,,,,,,,
"",,,(25.04),,(19.78),mansuli ##,(23.03),,mansuli ## (19.03)
"",,,2524,,15456,Sona,122241,,Sona 122241
2,CDR,Makawanpur ‐1,,,Makawanpur ‐1,,,,
"",,,(29.18),,(24.81),mansuli ##,(48.82),,mansuli ## (38.04)
"",,,,,17735,,31737,,34204
3,WDR,,,,Sabitri,Radha‐4,,,Radha ‐4
"",,,,,(20.07),,(26.55),,(16.45)
"",,,2216,,7624,,38190,,44541
4,MWDR Chandan nath ‐3,,,,Bindeswari,Radha‐4,,,Radha‐4
"",,,(45.66),,(19.48),,(39.07),,(31.42)
"",,,3404,,10955,,50722,,50722
5,FWDR,Radha‐4,,,Radha‐4,Sarju‐52##,,,Sarju‐52##
"",,,(32.34),,(40.78),,(46.79),,(34.79)
