# Share is expressed as percentage of total rice cultivated area (including both named and unnamed varieties),,,,
# Varieties marked with double asterisks are either non registered or indian varieties,,,,
,,,,
S.N,Variety,Notified_in_nepal,Area_in_ha,Share
1,Sona mansuli,No,192340,12.56
2,Hardinath-1,Yes,129313,8.44
3,Radha-4,Yes,121294,7.92
4,Sabitri,Yes,106096,6.93
5,Sarju-52,No,69598,4.54
6,Mansuli,Yes,59176,3.86
7,Khumal-4,Yes,55619,3.63
8,Radha-12,Yes,47928,3.13
9,Kanchhi mansuli,No,43481,2.84
10,Makawanpur-1,Yes,40058,2.62
11,Swarna sab-1,Yes,37853,2.47
12,Ram dhan,Yes,37358,2.44
13,Gorakhnath- 509,Yes,34442,2.25
14,Ranjit,No,31081,2.03
15,Sawa mansuli,No,27656,1.81
,Total,,103329,67.47
,Others,,498202,32.53
,Grand total,,1531494,100
